2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 959 fetchRegistry - Single vip registry refresh property : null
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 960 fetchRegistry - Force full registry fetch : false
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 961 fetchRegistry - Application is null : false
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 962 fetchRegistry - Registered Applications size is zero : true
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 964 fetchRegistry - Application version is -1: true
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 1047 getAndStoreFullRegistry - Getting all instance registry info from the eureka server
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 1056 getAndStoreFullRegistry - The response status is 200
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 1264 initScheduledTasks - Starting heartbeat executor: renew interval is: 30
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.InstanceInfoReplicator 60 <init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 449 <init> - Discovery Client initialized at timestamp 1530497152827 with initial instances count: 4
2018-07-02 at 10:05:52 CST INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry 42 register - Registering application eureka-client3 with eureka with status UP
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient$3 1299 notify - Saw local status change event StatusChangeEvent [timestamp=1530497152832, current=UP, previous=STARTING]
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 826 register - DiscoveryClient_EUREKA-CLIENT3/192.168.1.97:eureka-client3:9003: registering service...
2018-07-02 at 10:05:52 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Starting ProtocolHandler ["http-nio-9003"]
2018-07-02 at 10:05:52 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Using a shared selector for servlet write/read
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 835 register - DiscoveryClient_EUREKA-CLIENT3/192.168.1.97:eureka-client3:9003 - registration status: 204
2018-07-02 at 10:05:52 CST INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 206 start - Tomcat started on port(s): 9003 (http) with context path ''
2018-07-02 at 10:05:52 CST INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration 124 onApplicationEvent - Updating port to 9003
2018-07-02 at 10:05:52 CST INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started DemoApplication in 25.745 seconds (JVM running for 37.866)
2018-07-02 at 10:05:54 CST INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 83 locate - Fetching config from server at: http://localhost:8888
2018-07-02 at 10:05:54 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-07-02 at 10:05:54 CST INFO  org.springframework.web.servlet.FrameworkServlet 494 initServletBean - FrameworkServlet 'dispatcherServlet': initialization started
2018-07-02 at 10:05:54 CST INFO  org.springframework.web.servlet.FrameworkServlet 509 initServletBean - FrameworkServlet 'dispatcherServlet': initialization completed in 45 ms
2018-07-02 at 10:05:54 CST WARN  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 134 locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-client3/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
2018-07-02 at 10:10:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:15:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:20:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:25:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:30:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:35:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:40:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:43:19 CST INFO  org.springframework.context.support.AbstractApplicationContext 993 doClose - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1021f6c9: startup date [Mon Jul 02 10:05:48 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@15d49048
2018-07-02 at 10:43:19 CST INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry 65 deregister - Unregistering application eureka-client3 with eureka with status DOWN
2018-07-02 at 10:43:19 CST WARN  com.netflix.discovery.DiscoveryClient$3 1297 notify - Saw local status change event StatusChangeEvent [timestamp=1530499399970, current=DOWN, previous=UP]
2018-07-02 at 10:43:19 CST INFO  com.netflix.discovery.DiscoveryClient 826 register - DiscoveryClient_EUREKA-CLIENT3/192.168.1.97:eureka-client3:9003: registering service...
2018-07-02 at 10:43:20 CST INFO  com.netflix.discovery.DiscoveryClient 835 register - DiscoveryClient_EUREKA-CLIENT3/192.168.1.97:eureka-client3:9003 - registration status: 204
2018-07-02 at 10:43:20 CST INFO  org.springframework.context.support.DefaultLifecycleProcessor$LifecycleGroup 366 stop - Stopping beans in phase 0
2018-07-02 at 10:43:20 CST INFO  org.springframework.jmx.export.MBeanExporter 451 destroy - Unregistering JMX-exposed beans on shutdown
2018-07-02 at 10:43:20 CST INFO  org.springframework.jmx.support.MBeanRegistrationSupport 183 unregisterBeans - Unregistering JMX-exposed beans
2018-07-02 at 10:43:20 CST INFO  com.netflix.discovery.DiscoveryClient 888 shutdown - Shutting down DiscoveryClient ...
2018-07-02 at 10:43:23 CST INFO  com.netflix.discovery.DiscoveryClient 922 unregister - Unregistering ...
2018-07-02 at 10:43:23 CST INFO  com.netflix.discovery.DiscoveryClient 924 unregister - DiscoveryClient_EUREKA-CLIENT3/192.168.1.97:eureka-client3:9003 - deregister  status: 200
2018-07-02 at 10:43:23 CST INFO  com.netflix.discovery.DiscoveryClient 911 shutdown - Completed shut down of DiscoveryClient
2018-07-03 at 17:05:44 CST INFO  org.springframework.context.support.AbstractApplicationContext 590 prepareRefresh - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@660acfb: startup date [Tue Jul 03 17:05:44 CST 2018]; root of context hierarchy
2018-07-03 at 17:05:45 CST INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 154 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-07-03 at 17:05:45 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 328 postProcessAfterInitialization - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$20c76c78] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-03 at 17:05:55 CST INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 83 locate - Fetching config from server at: http://localhost:8888
2018-07-03 at 17:05:55 CST WARN  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator 134 locate - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-client3/default": Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)
2018-07-03 at 17:05:55 CST INFO  org.springframework.boot.SpringApplication 659 logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-03 at 17:05:55 CST INFO  org.springframework.context.support.AbstractApplicationContext 590 prepareRefresh - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7c541c15: startup date [Tue Jul 03 17:05:55 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@660acfb
2018-07-03 at 17:05:56 CST INFO  org.springframework.cloud.context.scope.GenericScope 293 setSerializationId - BeanFactory id=1457941a-1d2b-3467-82c5-396b983d4799
2018-07-03 at 17:05:56 CST INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor 154 <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-07-03 at 17:05:56 CST INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 328 postProcessAfterInitialization - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$20c76c78] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-03 at 17:05:56 CST INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 91 initialize - Tomcat initialized with port(s): 9003 (http)
2018-07-03 at 17:05:57 CST INFO  org.apache.juli.logging.DirectJDKLog 180 log - Initializing ProtocolHandler ["http-nio-9003"]
